ejecutable;tamañoPatron;tiempo;
suffixArraySearch;500;0.64999;13520
suffixArraySearch;500;0.64997;13520
suffixArraySearch;500;0.649847;13520
suffixArraySearch;500;0.649917;13520
suffixArraySearch;500;0.650187;13520
suffixArraySearch;500;0.649651;13520
suffixArraySearch;500;0.650098;13520
suffixArraySearch;500;0.649962;13520
suffixArraySearch;500;0.651192;13520
suffixArraySearch;500;0.649574;13520
suffixArraySearch;500;0.650109;13520
suffixArraySearch;1000;1.32934;24400
suffixArraySearch;1000;1.30691;24400
suffixArraySearch;1000;1.30499;24400
suffixArraySearch;1000;1.3037;24400
suffixArraySearch;1000;1.30422;24400
suffixArraySearch;1000;1.30447;24400
suffixArraySearch;1000;1.30506;24400
suffixArraySearch;1000;1.3041;24400
suffixArraySearch;1000;1.30527;24400
suffixArraySearch;1000;1.30441;24400
suffixArraySearch;1000;1.30443;24400
suffixArraySearch;1000;1.30449;24400
suffixArraySearch;1000;1.30518;24400
suffixArraySearch;1000;1.30571;24400
suffixArraySearch;1000;1.30554;24400
suffixArraySearch;1000;1.30508;24400
suffixArraySearch;1000;1.30592;24400
suffixArraySearch;1000;1.30591;24400
suffixArraySearch;1000;1.30606;24400
suffixArraySearch;1000;1.31386;24400
suffixArraySearch;2000;2.6538;65013
suffixArraySearch;2000;2.63418;65013
suffixArraySearch;2000;2.62856;65013
suffixArraySearch;2000;2.62763;65013
suffixArraySearch;2000;2.63048;65013
suffixArraySearch;2000;2.6331;65013
suffixArraySearch;2000;2.62851;65013
suffixArraySearch;2000;2.62692;65013
suffixArraySearch;2000;2.62918;65013
suffixArraySearch;2000;2.62889;65013
suffixArraySearch;2000;2.6312;65013
suffixArraySearch;2000;2.63331;65013
suffixArraySearch;2000;2.62896;65013
suffixArraySearch;2000;2.62724;65013
suffixArraySearch;2000;2.63096;65013
suffixArraySearch;2000;2.62639;65013
suffixArraySearch;2000;2.6274;65013
suffixArraySearch;2000;2.62922;65013
suffixArraySearch;2000;2.6289;65013
suffixArraySearch;2000;2.62839;65013
